CLIENT,KEY WORD
GH98904,"STEERING,SHOCK ABSORBER,CONTROL ARM,STABILIZER LINK, BALL JOINT,ARM BUSH, RACK END, CONTROL ROD,TIE ROD END,DRAG LINK"
GH10328,"RADIATOR,FAN CASE,FAN BLADE,CONDENSER"
GH98791,"RADIATOR,FAN CASE,FAN BLADE,CONDENSER"
GH10147,"RADIATOR,FAN CASE,FAN BLADE,CONDENSER"
GH10307,"RADIATOR,FAN CASE,FAN BLADE,CONDENSER"
GH98873,"RADIATOR,FAN CASE,FAN BLADE,CONDENSER"
GH10051,"RADIATOR,FAN CASE,FAN BLADE,CONDENSER"
GH10811,"SHOCK ABSORBER,STABILIZER LINK,TOP MOUNTING"
GH10112 ,"SHOCK ABSORBER,IDLER ARM,STABILIZER LINK,BALL JOINT,ARM BUSH,RACK END,CONTROL ROD,TIE ROD END,DRAG LINK,CONTROL ARM"
